id,name,real_team,role,quotation,fvm
1,Svilar,Roma,P,18,75
2,"Martinez Jo.",Inter,P,17,63
3,Carnesecchi,Atalanta,P,16,52
4,Butez,Como,P,16,54
5,Vicario,Juventus,P,16,58
6,Maignan,Milan,P,15,50
7,"De Gea",Fiorentina,P,12,40
8,Meret,Napoli,P,11,53
9,Skorupski,Bologna,P,10,36
10,Caprile,Cagliari,P,10,28
11,Mandas,Lazio,P,10,32
12,Falcone,Lecce,P,9,30
13,Okoye,Udinese,P,9,29
14,Perri,Torino,P,9,26
15,Bijlow,Genoa,P,8,17
16,Daffara,Parma,P,7,10
17,Muric,Sassuolo,P,7,15
18,"Stankovic F.",Venezia,P,6,12
19,Palmisani,Frosinone,P,5,12
20,Thiam,Monza,P,5,11
21,"Milinkovic-Savic V.",Napoli,P,5,7
22,Desplanches,Frosinone,P,2,3
23,Provedel,Inter,P,2,5
24,Sportiello,Atalanta,P,1,1
25,Happonen,Bologna,P,1,1
26,"Pessina Mas.",Bologna,P,1,1
27,Sherri,Cagliari,P,1,1
28,Tornqvist,Como,P,1,1
29,Vigorito,Como,P,1,1
30,"Christensen O.",Fiorentina,P,1,1
31,Lezzerini,Fiorentina,P,1,1
32,Lolic,Frosinone,P,1,1
33,Sommariva,Genoa,P,1,1
34,Stolz,Genoa,P,1,1
35,"Di Gennaro",Inter,P,1,1
36,Pinsoglio,Juventus,P,1,1
37,Motta,Lazio,P,1,1
38,Renzetti,Lazio,P,1,1
39,Terracciano,Milan,P,1,1
40,Torriani,Milan,P,1,1
41,Strajnar,Monza,P,1,1
42,Contini,Napoli,P,1,1
43,Corvi,Parma,P,1,10
44,"De Marzi",Roma,P,1,1
45,Gollini,Roma,P,1,1
46,"Russo A.",Sassuolo,P,1,1
47,Turati,Sassuolo,P,1,1
48,Mascardi,Torino,P,1,13
49,Paleari,Torino,P,1,1
50,Siviero,Torino,P,1,1
51,Padelli,Udinese,P,1,1
52,Piana,Udinese,P,1,1
53,Grandi,Venezia,P,1,1
54,Pozzi,Venezia,P,1,1
55,Vismara,Atalanta,P,1,1
56,Satalino,Sassuolo,P,1,1
