id,user_id,name,coach_name,logo,created_at,updated_at,active
1,2,"Fantateam 1","Mister 1",,"2026-08-31 10:55:31","2026-08-31 10:55:31",1
2,3,"Fantateam 2","Mister 2",,"2026-08-31 10:55:31","2026-08-31 10:55:31",1
3,4,"Fantateam 3","Mister 3",,"2026-08-31 10:55:32","2026-08-31 10:55:32",1
4,5,"Fantateam 4","Mister 4",,"2026-08-31 10:55:32","2026-08-31 10:55:32",1
5,6,"Fantateam 5","Mister 5",,"2026-08-31 10:55:32","2026-08-31 10:55:32",1
6,7,"Fantateam 6","Mister 6",,"2026-08-31 10:55:32","2026-08-31 10:55:32",1
7,8,"Fantateam 7","Mister 7",,"2026-08-31 10:55:33","2026-08-31 10:55:33",1
8,9,"Fantateam 8","Mister 8",,"2026-08-31 10:55:33","2026-08-31 10:55:33",1
9,10,"Fantateam 9","Mister 9",,"2026-08-31 10:55:33","2026-08-31 10:55:33",1
10,11,"Fantateam 10","Mister 10",,"2026-08-31 10:55:33","2026-08-31 10:55:33",1
